epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,533.379,1.48055,1.20348,1.08358,0.32784,0.16075,0.10187,0.02961,3.09483,2.75342,1.49953,0.000973861,0.000973861,0.000973861
44,545.171,1.43563,1.12427,1.08271,0.29323,0.1631,0.11236,0.03556,2.96665,2.76458,1.40693,0.000957358,0.000957358,0.000957358
45,556.385,1.55706,1.13422,1.16019,0.29323,0.1631,0.11236,0.03556,2.96665,2.76458,1.40693,0.000940855,0.000940855,0.000940855
46,567.696,1.4325,1.08051,1.04748,0.19461,0.1631,0.11137,0.02644,2.97273,2.65077,1.39122,0.000924352,0.000924352,0.000924352
47,579.106,1.43768,1.09704,1.02737,0.21753,0.20856,0.10223,0.0307,2.96269,2.60954,1.3708,0.000907848,0.000907848,0.000907848
48,590.728,1.35217,1.01957,1.03145,0.21753,0.20856,0.10223,0.0307,2.96269,2.60954,1.3708,0.000891345,0.000891345,0.000891345
49,602.358,1.47236,1.12057,1.03777,0.33846,0.12701,0.11086,0.03322,2.89094,2.60709,1.35792,0.000874842,0.000874842,0.000874842
50,613.586,1.70126,2.0807,1.29324,0.33846,0.12701,0.11086,0.03322,2.89094,2.60709,1.35792,0.000858338,0.000858338,0.000858338
51,624.808,1.51508,1.10671,1.0471,0.29615,0.14973,0.10488,0.02807,2.8783,2.64374,1.39085,0.000841835,0.000841835,0.000841835
52,635.813,1.49817,1.11686,1.04093,0.11852,0.17246,0.08576,0.02986,2.82037,2.7185,1.3686,0.000825332,0.000825332,0.000825332
53,647.169,1.37656,1.05494,1.02838,0.11852,0.17246,0.08576,0.02986,2.82037,2.7185,1.3686,0.000808828,0.000808828,0.000808828
54,659.101,1.48895,1.06608,1.03506,0.15533,0.14305,0.07144,0.027,3.01681,2.55821,1.44815,0.000792325,0.000792325,0.000792325
55,670.341,1.45039,1.05036,1.07272,0.28217,0.19081,0.11241,0.02974,3.03625,2.45084,1.47741,0.000775822,0.000775822,0.000775822
56,681.346,1.45526,0.99082,1.04009,0.28217,0.19081,0.11241,0.02974,3.03625,2.45084,1.47741,0.000759318,0.000759318,0.000759318
57,692.342,1.62591,1.11313,1.06662,0.27384,0.2112,0.09771,0.0285,3.00333,2.37159,1.47423,0.000742815,0.000742815,0.000742815
58,703.588,1.46315,1.01008,1.01142,0.27384,0.2112,0.09771,0.0285,3.00333,2.37159,1.47423,0.000726312,0.000726312,0.000726312
59,716.632,1.53431,1.15603,1.12992,0.23217,0.16053,0.08943,0.02714,3.03295,2.40531,1.4591,0.000709809,0.000709809,0.000709809
60,728.402,1.6108,1.10952,1.1646,0.21236,0.17246,0.07123,0.0258,3.10015,2.46143,1.46749,0.000693305,0.000693305,0.000693305
61,740.312,1.49061,1.04247,1.03575,0.21236,0.17246,0.07123,0.0258,3.10015,2.46143,1.46749,0.000676802,0.000676802,0.000676802
62,752.646,1.56178,1.14895,1.11325,0.29834,0.23128,0.12498,0.03163,2.99904,2.45849,1.42361,0.000660299,0.000660299,0.000660299
63,764.267,1.60684,1.15283,1.12955,0.30828,0.20856,0.12976,0.03621,2.89777,2.40066,1.37871,0.000643795,0.000643795,0.000643795
64,778.118,1.35271,0.99817,1.01681,0.30828,0.20856,0.12976,0.03621,2.89777,2.40066,1.37871,0.000627292,0.000627292,0.000627292
65,791.4,1.3755,1.0196,1.00936,0.31048,0.20856,0.12359,0.02831,2.92219,2.44171,1.40939,0.000610789,0.000610789,0.000610789
